"GK","DEF","MID","OFF"
6.91,27.556,27.2,13.668
7.1,29.4,20.8,21.3
8.3,30.8,22.8,24.4
7.5,41.5,24.7,16.5
8.3,42,33.4,9
7,27.9,35.3,7.1
7.7,29,21.9,22.1
7.5,29.3,38.4,6.6
8.4,32,33.1,17.8
7,28.6,34.7,5.8
8,29.5,23.3,24.6
8.7,30,36.8,9.2
8.7,41.5,25.1,18
7.7,28.4,28.5,14.1
8.5,24.1,30.5,21.8
7,27.9,21.5,20.9
8.2,32.5,23.7,24.7
8.8,35.3,27.9,6.8
9,42.5,34.6,8.4
7,29.2,22.3,22.5
8.9,24.4,33,26.2
7.3,35.4,35.9,15.1
6.8,31.9,22.6,21.2
7.3,30.2,24.9,24.4
8.9,33.6,25.1,25.6
7.8,21.8,31.4,24.7
8.5,30.7,39.2,7.1
6.7,36.7,28,7.3
8.2,31.9,42.4,8.4
7.4,29.9,36.8,7.5
7.6,31.7,30.8,16.4
6.9,28.6,38.3,7.6
